This is the output of the program, simple.c. This output was obtained using the
`dmesg` command to print out the contents of the kernel log buffer. The line
"S PID CMD" means state, process ID, command name, respectively. Below that line
is the value of corresponding `struct task_struct` member for each process in
the system. By comparing this  to the output of the `ps -el` command I confirmed
that my program is correct. For instance in the output of the `ps` command we
see

```
F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -  5727 ep_pol ?        00:00:01 systemd
```

which is consistent with
[11292.271470] 1 943 gdm3
[11292.271471] 1 954 Xorg
[11292.271472] 1 1004 upowerd
[11292.271473] 1 1013 colord
[11292.271474] 1 1023 rtkit-daemon
[11292.271475] 1 1058 wpa_supplicant
[11292.271476] 1 1061 packagekitd
[11292.271477] 1 1072 gdm-session-wor
[11292.271478] 1 1076 systemd
[11292.271479] 1 1077 (sd-pam)
[11292.271480] 1 1081 gnome-keyring-d
[11292.271481] 1 1084 x-session-manag
[11292.271482] 1 1127 VBoxClient
[11292.271483] 1 1132 VBoxClient
[11292.271484] 1 1140 VBoxClient
[11292.271485] 1 1145 VBoxClient
[11292.271487] 1 1150 VBoxClient
[11292.271488] 1 1160 dbus-launch
[11292.271489] 1 1165 dbus-daemon
[11292.271490] 1 1174 ssh-agent
[11292.271492] 1 1177 dbus-launch
[11292.271493] 1 1179 dbus-daemon
[11292.271494] 1 1185 at-spi-bus-laun
[11292.271496] 1 1189 dbus-daemon
[11292.271497] 1 1193 at-spi2-registr
[11292.271498] 1 1205 gnome-settings-
[11292.271500] 1 1220 pulseaudio
[11292.271501] 1 1222 gvfsd
[11292.271502] 1 1227 gvfsd-fuse
[11292.271504] 1 1240 gvfs-udisks2-vo
[11292.271505] 1 1241 start-pulseaudi
[11292.271506] 1 1242 xprop
[11292.271507] 1 1244 udisksd
[11292.271509] 1 1253 gvfs-goa-volume
[11292.271510] 1 1256 goa-daemon
[11292.271511] 1 1265 mission-control
[11292.271513] 1 1266 gvfs-gphoto2-vo
[11292.271514] 1 1270 gvfs-mtp-volume
[11292.271515] 1 1276 gvfs-afc-volume
[11292.271517] 1 1281 gnome-shell
[11292.271518] 1 1286 gsd-printer
[11292.271519] 1 1298 gnome-shell-cal
[11292.271520] 1 1302 evolution-sourc
[11292.271521] 1 1315 evolution-alarm
[11292.271523] 1 1316 nm-applet
[11292.271524] 1 1318 tracker-miner-u
[11292.271525] 1 1325 VBoxClient
[11292.271526] 1 1338 VBoxClient
[11292.271528] 1 1342 nautilus
[11292.271528] 1 1348 VBoxClient
[11292.271529] 1 1351 tracker-store
[11292.271530] 1 1368 tracker-extract
[11292.271531] 1 1376 evolution-calen
[11292.271532] 1 1377 zeitgeist-datah
[11292.271533] 1 1378 tracker-miner-f
[11292.271535] 1 1379 tracker-miner-a
[11292.271536] 1 1383 applet.py
[11292.271537] 1 1385 zeitgeist-daemo
[11292.271539] 1 1395 gconfd-2
[11292.271540] 1 1403 zeitgeist-fts
[11292.271541] 1 1422 cat
[11292.271542] 1 1436 gvfsd-trash
[11292.271543] 1 1470 gvfsd-metadata
[11292.271544] 1 1473 gvfsd-burn
[11292.271545] 1 2587 cupsd
[11292.271546] 1 3876 sshd
[11292.271546] 1 3893 sshd
[11292.271547] 1 3894 bash
[11292.271548] 1 6198 sshd
[11292.271549] 1 6205 sshd
[11292.271550] 1 6206 bash
[11292.271550] 1 11045 su
[11292.271551] 1 11059 bash
[11292.271552] 1 28856 su
[11292.271553] 1 28865 bash
[11292.271554] 1 568 kworker/0:2
[11292.271555] 1 3807 sshd
[11292.271556] 1 3906 sshd
[11292.271557] 1 3907 sftp-server
[11292.271558] 1 16939 kworker/0:0
[11292.271560] 1 18290 kworker/0:1
[11292.271561] 1 18870 VBoxClient
[11292.271562] 0 18898 insmod
